Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000243485,MIR1302-2HG,0.0007527566720100768,-2.0435010198984926,1,0,2.0435010198984926,1
ENSG00000238009,AL627309.1,0.019697132917597008,0.1309967113336441,1,0.014532388163125494,-0.1309967113336441,1
ENSG00000239945,AL627309.3,0.00012545944533501278,-3.8508559419560964,1,0,3.8508559419560964,1
ENSG00000239906,AL627309.2,0.000627297226675064,-2.2658934412349403,1,0,2.2658934412349403,1
ENSG00000241860,AL627309.5,0.055829453174080695,1.3650814572430514,0.26588408654495527,0.018165485203906866,-1.3650814572430514,0.26588408654495527
ENSG00000286448,AP006222.2,0.002634648352035269,-0.39142432331879995,1,0,0.39142432331879995,1
ENSG00000229905,AL669831.2,0.0005018377813400511,-2.5289278470687346,1,0,2.5289278470687346,1
ENSG00000237491,LINC01409,0.6462416029206509,1.27060757052957,0.13480076186743664,0.2652160839770403,-1.27060757052957,0.13480076186743664
ENSG00000177757,FAM87B,0.0045165400320604605,0.35859742367285286,1,0,-0.35859742367285286,1
ENSG00000228794,LINC01128,0.09760744847063996,0.29519195746827487,1,0.07629503785640884,-0.29519195746827487,1
ENSG00000225880,LINC00115,0.1137917169188566,1.653764450447456,0.09555543845074264,0.03269787336703236,-1.653764450447456,0.09555543845074264
ENSG00000230368,FAM41C,0.015055133440201535,0.06800729531849736,1,0.01089929112234412,-0.06800729531849736,1
ENSG00000272438,AL645608.6,0.29771526377998536,2.3622482776858096,0.01020390124349163,0.054496455611720604,-2.3622482776858096,0.01020390124349163
ENSG00000230699,AL645608.2,0.050434697024675144,1.2188175858507142,0.3294124105400676,0.018165485203906866,-1.2188175858507142,0.3294124105400676
ENSG00000241180,AL645608.4,0.000627297226675064,-2.2658934412349403,1,0,2.2658934412349403,1
ENSG00000223764,LINC02593,0.020449889589607084,0.5066960626619865,1,0.01089929112234412,-0.5066960626619865,1
ENSG00000187634,SAMD11,0.24075667559788955,0.7341065587650593,0.5614387542281061,0.14169078459047357,-0.7341065587650593,0.5614387542281061
ENSG00000188976,NOC2L,0.4199127635362878,0.46591044781548674,0.8771485165805815,0.301547054384854,-0.46591044781548674,0.8771485165805815
ENSG00000187961,KLHL17,0.004892918368065499,-0.5289278470687346,1,0.0036330970407813736,0.5289278470687346,1
ENSG00000187583,PLEKHN1,0.006398431712085652,0.8495837761849954,0.8644457286476395,0,-0.8495837761849954,0.8644457286476395
ENSG00000187642,PERM1,0.0035128644693803585,0.007125053171474605,1,0,-0.007125053171474605,1
ENSG00000272512,AL645608.7,0.00012545944533501278,-3.8508559419560964,1,0,3.8508559419560964,1
ENSG00000188290,HES4,0.000627297226675064,-3.2658934412349403,0.4343986560192091,0.0036330970407813736,3.2658934412349403,0.4343986560192091
ENSG00000187608,ISG15,0.003011026688040307,-1.791962252902529,0.5653114989252174,0.007266194081562747,1.791962252902529,0.5653114989252174
ENSG00000224969,AL645608.1,0.000627297226675064,-2.2658934412349403,1,0,2.2658934412349403,1
ENSG00000188157,AGRN,0.09095809786788428,-1.4763132209053127,0.015316428898488043,0.25068369581391475,1.4763132209053127,0.015316428898488043
ENSG00000242590,AL645608.5,0.00012545944533501278,-3.8508559419560964,1,0,3.8508559419560964,1
ENSG00000131591,C1orf159,0.43383876196847426,0.9983927608083125,0.28529553063945867,0.21435272540610104,-0.9983927608083125,0.28529553063945867
ENSG00000285812,AL390719.3,0.04064886028854415,3.4934399659597197,0.02561255483801254,0,-3.4934399659597197,0.02561255483801254
ENSG00000223823,LINC01342,0.002509188906700256,-1.4585385191773366,0.9178480926553613,0.0036330970407813736,1.4585385191773366,0.9178480926553613
ENSG00000272141,AL390719.2,0.003638323914715371,0.05603465365242144,1,0,-0.05603465365242144,1
ENSG00000205231,TTLL10-AS1,0,-5.850855941956096,0.17416784677011632,0.0036330970407813736,5.850855941956096,0.17416784677011632
ENSG00000162571,TTLL10,0.009534917845460972,1.4159305987388047,0.5680512762836226,0,-1.4159305987388047,0.5680512762836226
ENSG00000186891,TNFRSF18,0.00025091889067002557,-3.2658934412349403,1,0,3.2658934412349403,1
ENSG00000186827,TNFRSF4,0.00539475614940555,0.6085756766812,1,0,-0.6085756766812,1
ENSG00000078808,SDF4,0.18844008689318922,-1.7729600790061304,0.00017078984320667215,0.6430581762183031,1.7729600790061304,0.00017078984320667215
ENSG00000176022,B3GALT6,0.015556971221541586,-1.692426579351614,0.09634435783765641,0.04723026153015786,1.692426579351614,0.09634435783765641
ENSG00000184163,C1QTNF12,0.006649350602755678,-0.09596843979262903,1,0.0036330970407813736,0.09596843979262903,1
ENSG00000260179,AL162741.1,0.0013800538986851409,-1.2658934412349403,1,0,1.2658934412349403,1
ENSG00000160087,UBE2J2,0.17890516904772824,0.5835195581612127,0.7553114440064591,0.11625910530500395,-0.5835195581612127,0.7553114440064591
ENSG00000230415,LINC01786,0.06599166824621673,1.8688751147937555,0.09812253855164245,0.014532388163125494,-1.8688751147937555,0.09812253855164245
ENSG00000162572,SCNN1D,0.04993285924333509,-0.29807384698409045,0.936668246745719,0.05812955265250198,0.29807384698409045,0.936668246745719
ENSG00000131584,ACAP3,0.013549620096181382,-0.890026539236775,0.6598512324449021,0.02179858224468824,0.890026539236775,0.6598512324449021
ENSG00000169972,PUSL1,0.010914971744146114,-0.7133524182061617,0.8527029712512264,0.014532388163125494,0.7133524182061617,0.8527029712512264
ENSG00000127054,INTS11,0.5738515029623485,1.354503775715795,0.10861696833047679,0.22161891948766377,-1.354503775715795,0.10861696833047679
ENSG00000240731,AL139287.1,0.002509188906700256,-1.4585385191773366,0.9201722108208544,0.0036330970407813736,1.4585385191773366,0.9201722108208544
ENSG00000224051,CPTP,0.011793187861491203,-1.7404319522624467,0.126731285104679,0.03633097040781373,1.7404319522624467,0.126731285104679
ENSG00000169962,TAS1R3,0.0011291350080151151,-2.5289278470687346,0.6040784962075721,0.0036330970407813736,2.5289278470687346,0.6040784962075721
ENSG00000107404,DVL1,0.0431580491952444,-0.9439653463475781,0.2870777337400271,0.07992813489719021,0.9439653463475781,0.2870777337400271
ENSG00000162576,MXRA8,0.0038892428053853966,-1.8508559419560973,0.42154033232235333,0.01089929112234412,1.8508559419560973,0.42154033232235333
ENSG00000175756,AURKAIP1,0.08518696338247368,-1.46383281884685,0.018217469845718127,0.2325182106100079,1.46383281884685,0.018217469845718127
ENSG00000221978,CCNL2,1.0529811246967624,1.4838470877887202,0.06865015966513283,0.37420899520048145,-1.4838470877887202,0.06865015966513283
ENSG00000224870,MRPL20-AS1,0.052943885931375397,0.7037329097215403,0.7365971656637706,0.02906477632625099,-0.7037329097215403,0.7365971656637706
ENSG00000242485,MRPL20,0.314150451118872,-0.30172804027467315,0.751891331235216,0.38510828632282557,0.30172804027467315,0.751891331235216
ENSG00000272455,AL391244.2,0.022331781269632277,1.047997334587003,0.5616710842395173,0.007266194081562747,-1.047997334587003,0.5616710842395173
ENSG00000235098,ANKRD65,0.09597647568128478,-0.17654595563965847,1,0.10535981418265983,0.17654595563965847,1
ENSG00000225905,AL391244.1,0.0015055133440201535,-1.1504162238150055,1,0,1.1504162238150055,1
ENSG00000205116,TMEM88B,0.0010036755626801023,-1.6809309405137842,1,0,1.6809309405137842,1
ENSG00000225285,LINC01770,0.00313648613337532,-1.1504162238150055,1,0.0036330970407813736,1.1504162238150055,1
ENSG00000179403,VWA1,0.008029404501440818,-1.6358430509852466,0.23644465348820698,0.02179858224468824,1.6358430509852466,0.23644465348820698
ENSG00000215915,ATAD3C,0.009785836736130997,-0.8690032886663559,0.7916083853259163,0.014532388163125494,0.8690032886663559,0.7916083853259163
ENSG00000160072,ATAD3B,0.1362489576338239,1.147817441820873,0.2642189124140192,0.05812955265250198,-1.147817441820873,0.2642189124140192
ENSG00000197785,ATAD3A,0.07577750498234773,0.2200103887635474,1,0.06176264969328335,-0.2200103887635474,1
ENSG00000205090,TMEM240,0.0038892428053853966,0.14914405804390274,1,0,-0.14914405804390274,1
